y/m,rainfall,rainfall,max_rainfall_per_day,max_rainfall_per_day,>=50mm,>=15m/s,avg wind
1947/3,53.5,0,15.3,0,0,,
1947/4,50.0,0,21.8,0,0,,
1947/5,123.8,0,28.9,0,0,,
1947/6,77.4,0,25.3,0,0,,
1947/7,113.7,0,43.3,0,0,,
1947/8,28.1,0,22.6,0,0,,
1947/9,91.2,0,43.1,0,0,,
1947/10,75.6,0,21.9,0,0,,
1947/11,16.9,0,10.7,0,0,,
1947/12,75.8,0,24.5,0,0,,
1948/1,30.2,0,17.4,0,0,,
1948/2,48.1,0,18.7,0,0,,
1948/3,132.7,0,40.5,0,0,,
1948/4,99.6,0,32.3,0,0,,
1948/5,87.9,0,59.0,0,1,,
1948/6,85.6,0,24.1,0,0,,
1948/7,143.7,0,50.7,0,1,,
1948/8,120.9,0,38.1,0,0,,
1948/9,179.3,0,49.6,0,0,,
1948/10,37.7,0,17.4,0,0,,
1948/11,107.6,0,45.6,0,0,,
1948/12,49.7,0,8.9,0,0,,
1949/1,30.0,0,18.3,0,0,,
1949/2,50.0,0,23.9,0,0,,
1949/3,109.7,0,20.6,0,0,,
1949/4,86.6,0,20.3,0,0,,
1949/5,122.1,0,23.4,0,0,,
1949/6,358.5,0,181.8,0,1,,
1949/7,163.4,0,113.3,0,1,,
1949/8,65.4,0,16.9,0,0,,
1949/9,163.3,0,41.2,0,0,,
1949/10,143.7,0,35.1,0,0,,
1949/11,108.5,0,35.7,0,0,,
1949/12,85.1,0,15.0,0,0,,
1950/1,107.6,0,44.2,0,0,,
1950/2,47.0,0,22.2,0,0,,
1950/3,201.9,0,117.1,0,1,,
1950/4,98.5,0,20.3,0,0,,
1950/5,77.6,0,31.5,0,0,,
1950/6,229.2,0,53.0,0,1,,
1950/7,91.8,0,29.2,0,0,,
1950/8,100.3,0,69.8,0,1,,
1950/9,214.8,0,84.5,0,2,,
1950/10,124.9,0,30.6,0,0,,
1950/11,89.6,0,25.2,0,0,,
1950/12,89.2,0,28.4,0,0,,
1951/1,42.5,0,15.6,0,0,,
1951/2,74.6,0,18.4,0,0,,
1951/3,106.0,0,27.2,0,0,,
1951/4,98.2,0,16.8,0,0,,
1951/5,162.8,0,51.0,0,1,,
